Breed,Category,URL
Pomeranian,Toy,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/toy/pomeranian/
Poodle (Miniature),Utility,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/utility/poodle-miniature/
Poodle (Standard),Utility,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/utility/poodle-standard/
Poodle (Toy),Utility,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/utility/poodle-toy/
Portuguese Podengo,Hound,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/hound/portuguese-podengo/
Portuguese Pointer (Imp),Gundog,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/gundog/portuguese-pointer-imp/
Portuguese Water Dog,Working,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/working/portuguese-water-dog/
Pug,Toy,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/toy/pug/
Pyrenean Mastiff (Imp),Working,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/working/pyrenean-mastiff-imp/
Pyrenean Mountain Dog,Pastoral,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/pastoral/pyrenean-mountain-dog/
Pyrenean Sheepdog (Long Haired),Pastoral,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/pastoral/pyrenean-sheepdog-long-haired/
Pyrenean Sheepdog (Smooth Faced) (Imp),Pastoral,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/pastoral/pyrenean-sheepdog-smooth-faced-imp/
Retriever (Chesapeake Bay),Gundog,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/gundog/retriever-chesapeake-bay/
Retriever (Curly Coated),Gundog,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/gundog/retriever-curly-coated/
Retriever (Flat Coated),Gundog,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/gundog/retriever-flat-coated/
Retriever (Golden),Gundog,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/gundog/retriever-golden/
Retriever (Labrador),Gundog,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/gundog/retriever-labrador/
Retriever (Nova Scotia Duck Tolling),Gundog,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/gundog/retriever-nova-scotia-duck-tolling/
Rhodesian Ridgeback,Hound,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/hound/rhodesian-ridgeback/
Rottweiler,Working,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/working/rottweiler/
Russian Black Terrier,Working,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/working/russian-black-terrier/
Russian Toy,Toy,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/toy/russian-toy/
Saluki,Hound,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/hound/saluki/
Samoyed,Pastoral,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/pastoral/samoyed/
Schipperke,Utility,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/utility/schipperke/
Schnauzer,Utility,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/utility/schnauzer/
Scottish Terrier,Terrier,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/terrier/scottish-terrier/
Sealyham Terrier,Terrier,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/terrier/sealyham-terrier/
Shar Pei,Utility,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/utility/shar-pei/
Shetland Sheepdog,Pastoral,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/pastoral/shetland-sheepdog/
Shih Tzu,Utility,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/utility/shih-tzu/
Siberian Husky,Working,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/working/siberian-husky/
Skye Terrier,Terrier,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/terrier/skye-terrier/
Sloughi,Hound,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/hound/sloughi/
Slovakian Rough Haired Pointer (Imp),Gundog,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/gundog/slovakian-rough-haired-pointer-imp/
Small Munsterlander (Imp)s,Gundog,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/gundog/small-munsterlander-imp-s/
Soft Coated Wheaten Terrier,Terrier,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/terrier/soft-coated-wheaten-terrier/
Spaniel (American Cocker),Gundog,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/gundog/spaniel-american-cocker/
Spaniel (American Water) (Imp),Gundog,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/gundog/spaniel-american-water-imp/
Spaniel (Clumber),Gundog,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/gundog/spaniel-clumber/
Spaniel (Cocker),Gundog,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/gundog/spaniel-cocker/
Spaniel (English Springer),Gundog,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/gundog/spaniel-english-springer/
Spaniel (Field),Gundog,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/gundog/spaniel-field/
Spaniel (Irish Water),Gundog,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/gundog/spaniel-irish-water/
Spaniel (Sussex),Gundog,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/gundog/spaniel-sussex/
Spaniel (Welsh Springer),Gundog,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/gundog/spaniel-welsh-springer/
Spanish Water Dog,Gundog,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/gundog/spanish-water-dog/
St. Bernard,Working,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/working/st-bernard/
Staffordshire Bull Terrier,Terrier,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/terrier/staffordshire-bull-terrier/
Swedish Lapphund (Imp),Pastoral,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/pastoral/swedish-lapphund-imp/
Swedish Vallhund,Pastoral,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/pastoral/swedish-vallhund/
Tibetan Mastiff,Working,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/working/tibetan-mastiff/
Tibetan Spaniel,Utility,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/utility/tibetan-spaniel/
Tibetan Terrier,Utility,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/utility/tibetan-terrier/
Turkish Kangal Dog,Pastoral,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/pastoral/turkish-kangal-dog/
Weimaraner,Gundog,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/gundog/weimaraner/
Welsh Corgi (Cardigan),Pastoral,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/pastoral/welsh-corgi-cardigan/
Welsh Corgi (Pembroke),Pastoral,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/pastoral/welsh-corgi-pembroke/
Welsh Terrier,Terrier,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/terrier/welsh-terrier/
West Highland White Terrier,Terrier,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/terrier/west-highland-white-terrier/
Whippet,Hound,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/hound/whippet/
White Swiss Shepherd Dog (Imp),Pastoral,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/pastoral/white-swiss-shepherd-dog-imp/
Xoloitzcuintle (Mex Hairless) Int (Imp),Utility,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/utility/xoloitzcuintle-mex-hairless-int-imp/
Xoloitzcuintle (Mex Hairless) Min (Imp),Utility,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/utility/xoloitzcuintle-mex-hairless-min-imp/
Xoloitzcuintle (Mex Hairless) Std (Imp),Utility,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/utility/xoloitzcuintle-mex-hairless-std-imp/
Yorkshire Terrier,Toy,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/toy/yorkshire-terrier/
