Breed,FCINumber,Section,Subsection,Country,Status,DateAcceptance,DateStandard,Language,WorkingTrial,URL
SLOUGHI,188,Short-haired Sighthounds,,"MOROCCO",Recognized on a definitive basis,11/8/1934,1/8/1998,French,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/SLOUGHI-188.html
SLOVENSKÝ CUVAC,142,Sheepdogs,,"SLOVAKIA",Recognized on a definitive basis,11/9/1966,8/18/1965,German,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/SLOVAKIAN-CHUVACH-142.html
SLOVENSKÝ HRUBOSRSTÝ STAVAC (OHAR),320,Continental Pointing Dogs,«Braque»Type,"SLOVAKIA",Recognized on a definitive basis,2/17/1982,1/6/1995,German,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/WIREHAIRED-SLOVAKIAN-POINTER-320.html
SLOVENSKÝ KOPOV,244,Scent hounds,Medium-sized Hounds,"SLOVAKIA",Recognized on a definitive basis,4/16/1963,4/16/1963,German,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/SLOVAKIAN-HOUND-244.html
SMÅLANDSSTÖVARE,129,Scent hounds,Medium-sized Hounds,"SWEDEN",Recognized on a definitive basis,1/12/1955,8/22/2017,English,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/SMALANDSSTOVARE-129.html
SPINONE ITALIANO,165,Continental Pointing Dogs,«Griffon» type,"ITALY",Recognized on a definitive basis,4/30/1955,11/13/2015,French,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/ITALIAN-SPINONE-165.html
SREDNEASIATSKAYA OVTCHARKA,335,Molossian type,Mountain type,"RUSSIAN FEDERATION",Recognized on a definitive basis,1/25/1989,10/13/2010,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/CENTRAL-ASIA-SHEPHERD-DOG-335.html
SRPSKI GONIC,150,Scent hounds,Medium-sized Hounds,"SERBIA",Recognized on a definitive basis,3/30/1955,3/25/2003,French,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/SERBIAN-HOUND-150.html
SRPSKI TROBOJNI GONIC,229,Scent hounds,Medium-sized Hounds,"SERBIA",Recognized on a definitive basis,7/23/1961,11/26/2002,French,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/SERBIAN-TRICOLOUR-HOUND-229.html
ST.BERNHARDSHUND - BERNHARDINER,61,Molossian type,Mountain type,"SWITZERLAND",Recognized on a definitive basis,8/28/1954,4/4/2016,German,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/ST-BERNARD-61.html
