Breed,FCINumber,Section,Subsection,Country,Status,DateAcceptance,DateStandard,Language,WorkingTrial,URL
CÃO FILA DE SÃO MIGUEL,340,Molossian type,Mastiff type,"PORTUGAL",Recognized on a definitive basis,5/21/2007,5/21/2007,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/SAINT-MIGUEL-CATTLE-DOG-340.html
DACHSHUND,148,,,"GERMANY",Recognized on a definitive basis,1/1/1955,5/25/2021,German,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/DACHSHUND-148.html
DALMATINSKI PAS,153,Related breeds,,"CROATIA",Recognized on a definitive basis,1/1/1955,10/13/2010,German,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/DALMATIAN-153.html
DANDIE DINMONT TERRIER,168,Small sized Terriers,,"GREAT BRITAIN",Recognized on a definitive basis,5/12/1955,8/22/2017,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/DANDIE-DINMONT-TERRIER-168.html
DANSK-SVENSK GÅRDSHUND,356,Pinscher and Schnauzer type,Pinscher,"DENMARK, SWEDEN",Recognized on a definitive basis,4/29/2019,12/10/2018,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/DANISH-SWEDISH-FARMDOG-356.html
DEERHOUND,164,Rough-haired Sighthounds,,"GREAT BRITAIN",Recognized on a definitive basis,4/29/1955,10/8/2012,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/DEERHOUND-164.html
DEUTSCH DRAHTHAAR,98,Continental Pointing Dogs,«Braque»Type,"GERMANY",Recognized on a definitive basis,11/26/1954,10/25/2000,German,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/GERMAN-WIRE-HAIRED-POINTING-DOG-98.html
DEUTSCH KURZHAAR,119,Continental Pointing Dogs,«Braque»Type,"GERMANY",Recognized on a definitive basis,1/1/1954,10/25/2000,German,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/GERMAN-SHORT-HAIRED-POINTING-DOG-119.html
DEUTSCH LANGHAAR,117,Continental Pointing Dogs,Spaniel Type,"GERMANY",Recognized on a definitive basis,12/18/1954,11/10/2011,German,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/DEUTSCH-LANGHAAR-117.html
DEUTSCH STICHELHAAR,232,Continental Pointing Dogs,«Braque»Type,"GERMANY",Recognized on a definitive basis,8/24/1961,11/29/2001,German,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/DEUTSCH-STICHELHAAR-232.html
DEUTSCHE BRACKE,299,Scent hounds,Small-sized Hounds,"GERMANY",Recognized on a definitive basis,1/28/1964,6/24/1997,German,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/GERMAN-HOUND-299.html
DEUTSCHE DOGGE,235,Molossian type,Mastiff type,"GERMANY",Recognized on a definitive basis,11/18/1961,8/21/2024,German,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/GREAT-DANE-235.html
DEUTSCHER BOXER,144,Molossian type,Mastiff type,"GERMANY",Recognized on a definitive basis,1/1/1955,4/1/2008,German,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/BOXER-144.html
DEUTSCHER JAGDTERRIER,103,Large and medium sized Terriers,,"GERMANY",Recognized on a definitive basis,12/2/1954,3/19/2015,German,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/GERMAN-HUNTING-TERRIER-103.html
DEUTSCHER PINSCHER,184,Pinscher and Schnauzer type,Pinscher,"GERMANY",Recognized on a definitive basis,7/14/1955,3/6/2007,German,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/GERMAN-PINSCHER-184.html
DEUTSCHER SCHÄFERHUND,166,Sheepdogs,,"GERMANY",Recognized on a definitive basis,1/1/1955,8/11/2010,German,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/GERMAN-SHEPHERD-DOG-166.html
DEUTSCHER SPITZ,97,European Spitz,,"GERMANY",Recognized on a definitive basis,1/1/1957,9/3/2024,German,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/GERMAN-SPITZ-97.html
DEUTSCHER WACHTELHUND,104,Flushing Dogs,,"GERMANY",Recognized on a definitive basis,12/3/1954,7/24/1996,German,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/GERMAN-SPANIEL-104.html
DO-KHYI,230,Molossian type,Mountain type,"Tibet (China)",Recognized on a definitive basis,8/22/1961,3/18/2015,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/TIBETAN-MASTIFF-230.html
DOBERMANN,143,Pinscher and Schnauzer type,Pinscher,"GERMANY",Recognized on a definitive basis,1/1/1955,11/13/2015,German,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/DOBERMANN-143.html
DOGO ARGENTINO,292,Molossian type,Mastiff type,"ARGENTINA",Recognized on a definitive basis,7/31/1973,11/10/2011,Spanish,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/DOGO-ARGENTINO-292.html
DOGUE DE BORDEAUX,116,Molossian type,Mastiff type,"FRANCE",Recognized on a definitive basis,1/1/1954,11/4/2008,French,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/DOGUE-DE-BORDEAUX-116.html
DRENTSCHE PATRIJSHOND,224,Continental Pointing Dogs,Spaniel Type,"THE NETHERLANDS",Recognized on a definitive basis,3/4/1960,4/4/2016,English,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/DRENTSCHE-PARTRIDGE-DOG-224.html
DREVER,130,Scent hounds,Small-sized Hounds,"SWEDEN",Recognized on a definitive basis,1/4/1955,7/27/2021,English,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/DREVER-130.html
DRÓTZÖRÜ MAGYAR VIZSLA,239,Continental Pointing Dogs,«Braque»Type,"HUNGARY",Recognized on a definitive basis,3/27/1963,4/6/2000,English,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/HUNGARIAN-WIRE-HAIRED-POINTER-239.html
DUNKER,203,Scent hounds,Medium-sized Hounds,"NORWAY",Recognized on a definitive basis,2/7/1956,4/4/2016,English,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/NORWEGIAN-HOUND-203.html
EESTI HAGIJAS,366,Scent hounds,Medium-sized Hounds,"ESTONIA",Recognized on a provisional basis,,9/4/2019,English,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/ESTONIAN-HOUND-366.html
ENGLISH COCKER SPANIEL,5,Flushing Dogs,,"GREAT BRITAIN",Recognized on a definitive basis,4/10/1963,10/8/2012,English,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/ENGLISH-COCKER-SPANIEL-5.html
ENGLISH FOXHOUND,159,Scent hounds,Large-sized Hounds,"GREAT BRITAIN",Recognized on a definitive basis,4/25/1955,3/26/2009,English,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/ENGLISH-FOXHOUND-159.html
ENGLISH POINTER,1,British and Irish Pointers and Setters,Pointer,"GREAT BRITAIN",Recognized on a definitive basis,3/5/1963,7/28/2009,English,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/ENGLISH-POINTER-1.html
ENGLISH SETTER,2,British and Irish Pointers and Setters,Setter,"GREAT BRITAIN",Recognized on a definitive basis,3/6/1963,7/28/2009,English,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/ENGLISH-SETTER-2.html
ENGLISH SPRINGER SPANIEL,125,Flushing Dogs,,"GREAT BRITAIN",Recognized on a definitive basis,12/29/1954,7/28/2009,English,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/ENGLISH-SPRINGER-SPANIEL-125.html
ENGLISH TOY TERRIER,13,Toy Terriers,,"GREAT BRITAIN",Recognized on a definitive basis,9/17/1963,3/26/2009,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/ENGLISH-TOY-TERRIER-BLACK-TAN-13.html
ENTLEBUCHER SENNENHUND,47,Swiss Mountain- and Cattledogs,,"SWITZERLAND",Recognized on a definitive basis,7/28/1954,11/28/2001,German,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/ENTLEBUCH-CATTLE-DOG-47.html
EPAGNEUL BLEU DE PICARDIE,106,Continental Pointing Dogs,Spaniel Type,"FRANCE",Recognized on a definitive basis,12/6/1954,6/8/2023,French,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/BLUE-PICARDY-SPANIEL-106.html
EPAGNEUL BRETON,95,Continental Pointing Dogs,Spaniel Type,"FRANCE",Recognized on a definitive basis,11/19/1954,3/25/2003,French,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/BRITTANY-SPANIEL-95.html
EPAGNEUL DE PONT-AUDEMER,114,Continental Pointing Dogs,Spaniel Type,"FRANCE",Recognized on a definitive basis,12/15/1954,8/1/2023,French,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/PONT-AUDEMER-SPANIEL-114.html
EPAGNEUL FRANÇAIS,175,Continental Pointing Dogs,Spaniel Type,"FRANCE",Recognized on a definitive basis,6/25/1955,11/4/2008,French,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/FRENCH-SPANIEL-175.html
EPAGNEUL NAIN CONTINENTAL,77,Continental Toy Spaniel and others,,"BELGIUM, FRANCE",Recognized on a definitive basis,1/1/1954,9/17/1990,French,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/CONTINENTAL-TOY-SPANIEL-77.html
EPAGNEUL PICARD,108,Continental Pointing Dogs,Spaniel Type,"FRANCE",Recognized on a definitive basis,12/8/1954,6/8/2023,French,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/PICARDY-SPANIEL-108.html
ERDÉLYI KOPÓ,241,Scent hounds,Medium-sized Hounds,"HUNGARY",Recognized on a definitive basis,3/30/1963,4/6/2000,French,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/HUNGARIAN-HOUND-TRANSYLVANIAN-SCENT-HOUND-241.html
EURASIER,291,Asian Spitz and related breeds,,"GERMANY",Recognized on a definitive basis,7/27/1973,9/4/2019,German,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/EURASIAN-291.html
FIELD SPANIEL,123,Flushing Dogs,,"GREAT BRITAIN",Recognized on a definitive basis,12/27/1954,7/27/2021,English,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/FIELD-SPANIEL-123.html
FILA BRASILEIRO,225,Molossian type,Mastiff type,"BRAZIL",Recognized on a definitive basis,1/1/1960,9/29/2016,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/FILA-BRASILEIRO-225.html
FLAT COATED RETRIEVER,121,Retrievers,,"GREAT BRITAIN",Recognized on a definitive basis,12/23/1954,7/28/2009,English,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/FLAT-COATED-RETRIEVER-121.html
FOX TERRIER (SMOOTH),12,Large and medium sized Terriers,,"GREAT BRITAIN",Recognized on a definitive basis,6/26/1963,10/30/2016,English,"Subject to a working trial only for the countries having applied for it",https://fci.be/en/nomenclature/FOX-TERRIER-SMOOTH-12.html
FOX TERRIER (WIRE),169,Large and medium sized Terriers,,"GREAT BRITAIN",Recognized on a definitive basis,5/13/1955,3/26/2009,English,"Subject to a working trial only for the countries having applied for it",https://fci.be/en/nomenclature/FOX-TERRIER-WIRE-169.html
FRANÇAIS BLANC ET NOIR,220,Scent hounds,Large-sized Hounds,"FRANCE",Recognized on a definitive basis,12/15/1959,11/4/2008,French,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/FRENCH-WHITE-BLACK-HOUND-220.html
FRANÇAIS BLANC ET ORANGE,316,Scent hounds,Large-sized Hounds,"FRANCE",Recognized on a definitive basis,2/1/1982,2/1/1982,French,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/FRENCH-WHITE-AND-ORANGE-HOUND-316.html
FRANÇAIS TRICOLORE,219,Scent hounds,Large-sized Hounds,"FRANCE",Recognized on a definitive basis,12/15/1959,8/1/2023,French,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/FRENCH-TRICOLOUR-HOUND-219.html
GALGO ESPAÑOL,285,Short-haired Sighthounds,,"SPAIN",Recognized on a definitive basis,8/10/1971,5/26/1982,Spanish,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/SPANISH-GREYHOUND-285.html
GAMMEL DANSK HØNSEHUND,281,Continental Pointing Dogs,«Braque»Type,"DENMARK",Recognized on a definitive basis,4/2/1969,1/8/1998,English,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/OLD-DANISH-POINTING-DOG-281.html
GASCON SAINTONGEOIS,21,Scent hounds,Large-sized Hounds,"FRANCE",Recognized on a definitive basis,8/10/1963,8/1/2023,French,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/GASCON-SAINTONGEOIS-21.html
GOLDEN RETRIEVER,111,Retrievers,,"GREAT BRITAIN",Recognized on a definitive basis,12/2/1954,7/28/2009,English,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/GOLDEN-RETRIEVER-111.html
GONCZY POLSKI,354,Scent hounds,Medium-sized Hounds,"POLAND",Recognized on a definitive basis,11/7/2017,11/7/2017,English,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/POLISH-HUNTING-DOG-354.html
GORDON SETTER,6,British and Irish Pointers and Setters,Setter,"GREAT BRITAIN",Recognized on a definitive basis,5/28/1963,4/4/2016,English,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/GORDON-SETTER-6.html
GOS D'ATURA CATALÀ,87,Sheepdogs,,"SPAIN",Recognized on a definitive basis,11/30/1954,5/26/1982,Spanish,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/CATALAN-SHEEPDOG-87.html
GOS RATER VALENCIÀ,370,Large and medium sized Terriers,,"SPAIN",Recognized on a provisional basis,,6/21/2022,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/VALENCIAN-TERRIER-370.html
GRAND ANGLO-FRANÇAIS BLANC ET NOIR,323,Scent hounds,Large-sized Hounds,"FRANCE",Recognized on a definitive basis,1/27/1983,11/4/2008,French,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/GREAT-ANGLO-FRENCH-WHITE-AND-BLACK-HOUND-323.html
GRAND ANGLO-FRANÇAIS BLANC ET ORANGE,324,Scent hounds,Large-sized Hounds,"FRANCE",Recognized on a definitive basis,1/27/1983,8/1/2023,French,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/GREAT-ANGLO-FRENCH-WHITE-ORANGE-HOUND-324.html
GRAND ANGLO-FRANÇAIS TRICOLORE,322,Scent hounds,Large-sized Hounds,"FRANCE",Recognized on a definitive basis,1/27/1983,1/27/1983,French,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/GREAT-ANGLO-FRENCH-TRICOLOUR-HOUND-322.html
GRAND BASSET GRIFFON VENDEEN,33,Scent hounds,Small-sized Hounds,"FRANCE",Recognized on a definitive basis,1/17/1967,1/9/1999,French,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/GRAND-BASSET-GRIFFON-VENDEEN-33.html
GRAND BLEU DE GASCOGNE,22,Scent hounds,Large-sized Hounds,"FRANCE",Recognized on a definitive basis,8/10/1963,1/24/1996,French,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/GREAT-GASCONY-BLUE-22.html
GRAND GRIFFON VENDEEN,282,Scent hounds,Large-sized Hounds,"FRANCE",Recognized on a definitive basis,4/8/1969,1/9/1999,French,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/GRAND-GRIFFON-VENDEEN-282.html
GREYHOUND,158,Short-haired Sighthounds,,"GREAT BRITAIN",Recognized on a definitive basis,4/23/1955,10/13/2010,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/GREYHOUND-158.html
GRIFFON A POIL DUR KORTHALS,107,Continental Pointing Dogs,«Griffon» type,"FRANCE",Recognized on a definitive basis,12/7/1954,8/1/2023,French,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/WIRE-HAIRED-POINTING-GRIFFON-KORTHALS-107.html
GRIFFON BELGE,81,Small Belgian Dogs,Griffons,"BELGIUM",Recognized on a definitive basis,10/26/1954,3/25/2003,French,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/GRIFFON-BELGE-81.html
GRIFFON BLEU DE GASCOGNE,32,Scent hounds,Medium-sized Hounds,"FRANCE",Recognized on a definitive basis,9/30/1963,1/24/1996,French,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/BLUE-GASCONY-GRIFFON-32.html
GRIFFON BRUXELLOIS,80,Small Belgian Dogs,Griffons,"BELGIUM",Recognized on a definitive basis,10/26/1954,3/25/2003,French,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/GRIFFON-BRUXELLOIS-80.html
GRIFFON FAUVE DE BRETAGNE,66,Scent hounds,Medium-sized Hounds,"FRANCE",Recognized on a definitive basis,10/5/1954,3/25/2003,French,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/FAWN-BRITTANY-GRIFFON-66.html
GRIFFON NIVERNAIS,17,Scent hounds,Medium-sized Hounds,"FRANCE",Recognized on a definitive basis,12/15/1959,3/24/2004,French,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/GRIFFON-NIVERNAIS-17.html
GROSSER MÜNSTERLÄNDER VORSTEHHUND,118,Continental Pointing Dogs,Spaniel Type,"GERMANY",Recognized on a definitive basis,12/20/1954,10/29/2013,German,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/LARGE-MUNSTERLANDER-118.html
GROSSER SCHWEIZER SENNENHUND,58,Swiss Mountain- and Cattledogs,,"SWITZERLAND",Recognized on a definitive basis,8/13/1954,3/25/2003,German,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/GREAT-SWISS-MOUNTAIN-DOG-58.html
GRØNLANDSHUND,274,Nordic Sledge Dogs,,"GREENLAND",Recognized on a definitive basis,5/5/1967,3/30/2022,English,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/GREENLAND-DOG-274.html
HALDENSTØVER,267,Scent hounds,Medium-sized Hounds,"NORWAY",Recognized on a definitive basis,10/7/1965,8/9/1999,English,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/HALDEN-HOUND-267.html
HAMILTONSTÖVARE,132,Scent hounds,Medium-sized Hounds,"SWEDEN",Recognized on a definitive basis,1/6/1955,8/22/2017,English,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/HAMILTONSTOVARE-132.html
HANNOVERSCHER SCHWEISSHUND,213,Leash (scent) Hounds,,"GERMANY",Recognized on a definitive basis,10/6/1959,3/19/2015,German,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/HANOVERIAN-SCENT-HOUND-213.html
HARRIER,295,Scent hounds,Medium-sized Hounds,"GREAT BRITAIN",Recognized on a definitive basis,11/27/1974,11/27/1974,English,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/HARRIER-295.html
HELLINIKOS ICHNILATIS,214,Scent hounds,Medium-sized Hounds,"GREECE",Recognized on a definitive basis,10/16/1959,10/16/1959,French,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/HELLENIC-HOUND-214.html
HOKKAIDO,261,Asian Spitz and related breeds,,"JAPAN",Recognized on a definitive basis,4/22/1964,10/30/2016,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/HOKKAIDO-261.html
HOLLANDSE HERDERSHOND,223,Sheepdogs,,"THE NETHERLANDS",Recognized on a definitive basis,5/11/1955,12/21/2019,English,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/DUTCH-SHEPHERD-DOG-223.html
HOLLANDSE SMOUSHOND,308,Pinscher and Schnauzer type,Smoushond,"THE NETHERLANDS",Recognized on a definitive basis,3/11/1981,6/2/2010,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/DUTCH-SMOUSHOND-308.html
HOVAWART,190,Molossian type,Mountain type,"GERMANY",Recognized on a definitive basis,11/21/1955,3/21/2025,German,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/HOVAWART-190.html
HRVATSKI OVCAR,277,Sheepdogs,,"CROATIA",Recognized on a definitive basis,8/30/1967,11/3/2014,German,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/CROATIAN-SHEPHERD-DOG-277.html
HYGENHUND,266,Scent hounds,Medium-sized Hounds,"NORWAY",Recognized on a definitive basis,10/6/1965,8/9/1999,English,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/HYGEN-HOUND-266.html
IRISH GLEN OF IMAAL TERRIER,302,Large and medium sized Terriers,,"IRELAND",Recognized on a definitive basis,9/17/1975,9/3/2024,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/IRISH-GLEN-OF-IMAAL-TERRIER-302.html
IRISH RED AND WHITE SETTER,330,British and Irish Pointers and Setters,Setter,"IRELAND",Recognized on a definitive basis,6/6/1989,4/19/2005,English,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/IRISH-RED-AND-WHITE-SETTER-330.html
IRISH RED SETTER,120,British and Irish Pointers and Setters,Setter,"IRELAND",Recognized on a definitive basis,12/22/1954,3/13/2001,English,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/IRISH-RED-SETTER-120.html
IRISH SOFT COATED WHEATEN TERRIER,40,Large and medium sized Terriers,,"IRELAND",Recognized on a definitive basis,2/26/1957,1/27/2001,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/IRISH-SOFT-COATED-WHEATEN-TERRIER-40.html
IRISH TERRIER,139,Large and medium sized Terriers,,"IRELAND",Recognized on a definitive basis,1/28/1955,3/13/2001,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/IRISH-TERRIER-139.html
IRISH WATER SPANIEL,124,Water Dogs,,"IRELAND",Recognized on a definitive basis,12/28/1954,3/13/2001,English,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/IRISH-WATER-SPANIEL-124.html
IRISH WOLFHOUND,160,Rough-haired Sighthounds,,"IRELAND",Recognized on a definitive basis,4/26/1955,3/13/2001,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/IRISH-WOLFHOUND-160.html
ISTARSKI KRATKODLAKI GONIC,151,Scent hounds,Medium-sized Hounds,"CROATIA",Recognized on a definitive basis,4/2/1955,11/3/2014,German,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/ISTRIAN-SHORT-HAIRED-HOUND-151.html
ISTARSKI OSTRODLAKI GONIC,152,Scent hounds,Medium-sized Hounds,"CROATIA",Recognized on a definitive basis,4/6/1955,11/3/2014,German,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/ISTRIAN-WIRE-HAIRED-HOUND-152.html
JACK RUSSELL TERRIER,345,Small sized Terriers,,"GREAT BRITAIN",Recognized on a definitive basis,1/1/2003,10/8/2012,English,"Subject to a working trial only for the countries having applied for it",https://fci.be/en/nomenclature/JACK-RUSSELL-TERRIER-345.html
JUGOSLOVENSKI OVCARSKI PAS-SARPLANINAC,41,Molossian type,Mountain type,"NORTH MACEDONIA, SERBIA",Recognized on a definitive basis,7/24/1957,11/24/1970,French,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/YUGOSLAVIAN-SHEPHERD-DOG-SHARPLANINA-41.html
JÄMTHUND,42,Nordic Hunting Dogs,,"SWEDEN",Recognized on a definitive basis,1/3/1954,9/4/2019,English,"Subject to a working trial only for the Nordic countries (Finland, Norway, Sweden)",https://fci.be/en/nomenclature/JAMTHUND-42.html
KAI,317,Asian Spitz and related breeds,,"JAPAN",Recognized on a definitive basis,2/1/1982,10/30/2016,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/KAI-317.html
KANGAL ÇOBAN KÖPEGI,331,Molossian type,Mountain type,"TURKEY",Recognized on a definitive basis,6/6/1989,6/15/2018,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/KANGAL-SHEPHERD-DOG-331.html
KARJALANKARHUKOIRA,48,Nordic Hunting Dogs,,"FINLAND",Recognized on a definitive basis,8/2/1954,11/3/2014,English,"Subject to a working trial only for the Nordic countries (Finland, Norway, Sweden)",https://fci.be/en/nomenclature/KARELIAN-BEAR-DOG-48.html
KAVKAZSKAÏA OVTCHARKA,328,Molossian type,Mountain type,"RUSSIAN FEDERATION",Recognized on a definitive basis,8/23/1984,10/13/2010,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/CAUCASIAN-SHEPHERD-DOG-328.html
KAZAKH TAZY,372,Long-haired or fringed Sighthounds,,"KAZAKHSTAN",Recognized on a provisional basis,,9/3/2024,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/KAZAKH-TAZY-372.html
KERRY BLUE TERRIER,3,Large and medium sized Terriers,,"IRELAND",Recognized on a definitive basis,4/2/1963,4/19/2005,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/KERRY-BLUE-TERRIER-3.html
KING CHARLES SPANIEL,128,English Toy Spaniels,,"GREAT BRITAIN",Recognized on a definitive basis,1/3/1955,7/27/2021,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/KING-CHARLES-SPANIEL-128.html
KISHU,318,Asian Spitz and related breeds,,"JAPAN",Recognized on a definitive basis,2/1/1982,10/30/2016,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/KISHU-318.html
KLEINER MÜNSTERLÄNDER,102,Continental Pointing Dogs,Spaniel Type,"GERMANY",Recognized on a definitive basis,2/14/1955,9/4/2019,German,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/KLEINER-MUNSTERLANDER-102.html
KOMONDOR,53,Sheepdogs,,"HUNGARY",Recognized on a definitive basis,8/9/1954,4/6/2010,German,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/KOMONDOR-53.html
